	PID/THRD  SYSCALL(args) 		 = return
95400/0x2394fc:  fork()		 = 0 Err#1
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x733F4804754DA090, 0x551EB565843562B1, 0x29CFA2000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D4B, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D4B, 0x0)		 = 90926411 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CE9E0)		 = 90926412 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xF73DF08A26AEE816, 0xA75ED2831E1900A2, 0x1AFAB3000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D4C, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D4C, 0x0)		 = 90926412 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F06EA5E0)		 = 90926413 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x453F3C00414E953C, 0x38241C929343F999, 0x29CFA6000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D4D, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D4D, 0x0)		 = 90926413 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B5290)		 = 90926414 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xD738969ADC8D8EB7, 0xA974F8A94EC34EB3, 0x19FE0F000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D4E, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D4E, 0x0)		 = 90926414 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B6318)		 = 90926415 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xB6367B351029787E, 0x9E52A7369229559C, 0x19FF96000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D4F, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D4F, 0x0)		 = 90926415 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CCCC0)		 = 90926416 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x6930DD63914EA721, 0x7129EFD765DC2791, 0x1AFA1B000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D50, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D50, 0x0)		 = 90926416 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B4DA0)		 = 90926417 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xFA34DE17430B13D8, 0xF6F75D97F59222AE, 0x19FD7C000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D51, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D51, 0x0)		 = 90926417 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04BBA48)		 = 90926418 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xD93CEE4C52429775, 0x52CF203A23B0A8B4, 0x1A668E000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D52, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D52, 0x0)		 = 90926418 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B9F60)		 = 90926419 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xC73F1B7E82EB0BD4, 0xE39EB06BBA9B9B81, 0x1A43B0000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D53, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D53, 0x0)		 = 90926419 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04C6D08)		 = 90926420 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x63305079D85B649F, 0xD8C4386F20451FBA, 0x1AD7B9000, 0x0)		 = 0 0
95400/0x2394fc:  dtrace: error on enabled probe ID 1694 (ID 289: syscall::execve:return): invalid address (0x16f18ad17) in action #12 at DIF offset 12
kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D54, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D54, 0x0)		 = 90926420 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F06EA830)		 = 90926421 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xC036BA939E4B322B, 0x586730EBC6F5CEB9, 0x29CFB0000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D55, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D55, 0x0)		 = 90926421 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04CE328)		 = 90926422 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x7C3C7F794223D8EA, 0x87B34C0CE728EC89, 0x1AFAAB000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D56, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D56, 0x0)		 = 90926422 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B5C28)		 = 90926423 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x7134132B37BAAA1E, 0x2CFE6877C0FA47BA, 0x19FF43000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D57, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D57, 0x0)		 = 90926423 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B60C8)		 = 90926424 0
